Feature_Name,Importance_Weight
amount,535
price_change,519
renewal_month_num,382
price_change_pct,367
price_per_connection,366
customer_age_days,344
current_world_pay_token,290
desire_to_cancel_agg,253
price_shock,252
tenure_years,189
last_connections,181
band,174
crm_financial_risk,174
proforma_membership_status,152
last_band,151
crm_negative_score,149
crm_friction_score,148
call_intensity,143
crm_progress_score,135
max_call_number,127
sentiment_category,124
crm_complaint_behavior,123
#_of_connection,114
crm_engagement,108
crm_contractor_sentiment_score_num,107
proforma_account_stage,100
cc_contractor_sentiment_overall_score,99
connection_group,97
cc_contractor_sentiment_end_score,95
num_cc_calls,95
crm_call_risk,87
complaint_price_risk,83
proforma_audit_status,80
crm_exit_signal,74
outbound_ratio,62
cc_contractor_sentiment_issues_score,60
cc_questionnaire_completion,55
cc_contractor_sentiment_start_score,53
num_analysed_calls,40
cc_worst_sentiment,36
cc_chasing_response,33
tenure_bucket,31
engagement_ratio,30
total_calls,29
cc_business_struggles_financial_hardship,27
outbound_calls,26
cc_process_complexity_concerns,25
customer_asked_justification_flag,25
risk_engagement,25
cc_login_issues,24
cc_external_consultant,21
total_flags,20
mean_customer_response_score,19
call_complaint_intensity,18
call_reschedule_flag,18
cc_care_package_discussed,18
no_last_price_flag,17
membership_alert_flag,17
cc_agent_cross_sell_attempt,16
cc_questions_harder_than_expected,16
discount_requested_flag,16
cc_pricing_mentioned,14
silent_customer_risk,13
flag_risk_level,12
cc_urgency_getting_on_site,12
cc_issues_within_questionnaire,10
cc_platform_issues,7
monetary_price_increase_flag,7
inbound_calls,6
other_complaint_flag,5
cc_contractor_complained,5
cc_customer_issues_concerns,5
tenure_group,3
cc_dissatisfaction_support,2
price_switching_flag,2
competitor_mentioned_flag,2
cc_dissatisfaction_time_to_complete,2
price_discussed_flag,1
had_cc_call,1
switching_intent_flag,0
serious_complaint_flag,0
serious_complaint_count,0
pct_price_increase_flag,0
competitor_mention_count,0
switching_intent_count,0
min_customer_response_score,0
discount_requested_count,0
had_renewal_call,0
had_complaint_category,0
price_issue,0
switching_risk,0
is_high_call_customer,0
has_complaint,0
is_no_call_customer,0
crm_sentiment,0
inbound_ratio,0
switching_engagement_risk,0
